POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
73,1731.7986,4724.8084,3237.4281,0.0,0.0,0.0,-4788.5686,-19896.5251,2098.0792,23065.383,-2737.4811,122.269,0.0,10172.403600000005,-2615.2120999999997,7557.191500000005
74,1837.0311,4878.0751,3256.2922,0.0,0.0,0.0,-4820.3003,-19884.7775,2098.3816,23036.4595,-2727.652,122.2805,0.0,10401.1617,-2605.3715,7795.7902
75,1794.5142,4902.1163,3275.6941,0.0,0.0,0.0,-4748.6216,-19935.7787,2091.0929,23024.8616,-2714.6141,122.5615,0.0,10403.8788,-2592.0526,7811.8262
76,1884.9756,4798.524,3257.258,0.0,0.0,0.0,-4801.3433,-19942.8673,2085.3394,23064.7215,-2713.6433,122.9676,0.0,10346.607899999999,-2590.6757000000002,7755.932199999999
77,1901.3461,4856.3258,3239.5221,0.0,0.0,0.0,-4776.3007,-19949.8149,2073.2891,22980.9771,-2706.1444,122.7885,0.0,10325.344599999999,-2583.3559,7741.988699999998
78,1829.7689,4748.7515,3283.0412,0.0,0.0,0.0,-4771.6081,-19992.0779,2091.8417,23038.1749,-2644.7286,120.6062,0.0,10227.892200000002,-2524.1223999999997,7703.769800000002
79,1852.5383,4701.6198,3261.1215,0.0,0.0,0.0,-4794.7072,-19994.1729,2048.7159,23005.2407,-2645.3195,122.4304,0.0,10080.356099999997,-2522.8891,7557.466999999998
80,1829.0922,4760.2094,3231.6649,0.0,0.0,0.0,-4827.5725,-19960.7749,2082.6991,23073.2981,-2698.5095,121.2764,0.0,10188.6163,-2577.2331,7611.383199999999
81,1828.102,4804.0702,3250.7252,0.0,0.0,0.0,-4783.6464,-20059.476,2112.3838,22994.8943,-2590.4903,121.4625,0.0,10147.053100000001,-2469.0278,7678.025300000001
82,1766.6698,4808.6832,3249.2023,0.0,0.0,0.0,-4767.4358,-20018.4116,2074.3394,23043.2952,-2619.9689,120.3351,0.0,10156.342500000002,-2499.6338,7656.708700000003
83,1802.9173,4843.2986,3283.0637,0.0,0.0,0.0,-4848.4418,-19989.3955,2088.5699,23001.1792,-2629.4913,122.2443,0.0,10181.191400000002,-2507.2470000000003,7673.944400000002
84,1871.9159,4752.1703,3310.8768,0.0,0.0,0.0,-4763.3465,-20001.8017,2111.7063,23049.8542,-2667.3022,120.5658,0.0,10331.375300000002,-2546.7364000000002,7784.638900000002
85,1808.0037,4899.9169,3288.8832,0.0,0.0,0.0,-4818.2387,-20071.5789,2127.4176,23006.9309,-2551.2393,118.3378,0.0,10241.334700000001,-2432.9015000000004,7808.433200000001
86,1820.7467,4724.7859,3289.1163,0.0,0.0,0.0,-4835.9425,-20083.5687,2096.342,23001.9668,-2546.4957,118.043,0.0,10013.446499999998,-2428.4527,7584.993799999998
87,1775.1237,4745.9765,3204.9338,0.0,0.0,0.0,-4867.5821,-19932.7433,2088.4379,22967.172,-2655.4364,119.748,0.0,9981.318500000001,-2535.6884,7445.6301
88,1784.6041,4838.5353,3243.901,0.0,0.0,0.0,-4821.8319,-20009.6309,2097.8212,23068.4968,-2629.765,120.5979,0.0,10201.895600000002,-2509.1670999999997,7692.728500000002
89,1823.0309,4803.1268,3265.9355,0.0,0.0,0.0,-4742.3704,-19972.7192,2089.1776,22987.4433,-2683.6169,121.2783,0.0,10253.624499999998,-2562.3386,7691.285899999998
90,1864.1172,4822.837,3234.8156,0.0,0.0,0.0,-4790.0456,-19975.7014,2074.7407,23020.3094,-2664.0643,121.3671,0.0,10251.072899999997,-2542.6972,7708.375699999998
91,1813.9526,4885.2852,3232.8093,0.0,0.0,0.0,-4851.2083,-19946.1548,2087.1477,23045.1049,-2685.8071,121.1417,0.0,10266.936599999997,-2564.6654,7702.271199999997
92,1821.191,4715.4411,3185.4146,0.0,0.0,0.0,-4750.7786,-19898.2331,2101.3725,22997.4806,-2712.5199,123.27,0.0,10171.888099999996,-2589.2499,7582.638199999998
93,1788.6645,4860.353,3268.6862,0.0,0.0,0.0,-4790.7969,-19903.2099,2078.9181,22915.1226,-2664.1303,121.724,0.0,10217.737599999997,-2542.4062999999996,7675.331299999997
94,1818.0915,4772.5464,3260.6145,0.0,0.0,0.0,-4786.0408,-20080.122,2099.2153,23078.7021,-2590.6978,121.8647,0.0,10163.006999999998,-2468.8331,7694.173899999998
95,1812.2292,4846.734,3227.4264,0.0,0.0,0.0,-4752.0953,-19980.4454,2088.609,23020.869,-2667.1564,122.6375,0.0,10263.3269,-2544.5189,7718.808
